title_id,title,year,runtime,genres,dir_list,cast_list,rating
tt0071081,141 perc a befejezetlen mondatból,(1975),140 min,"
Drama            ","['Director:', 'Zoltán Fábri']","['Stars:', 'András Bálint,', 'Mari Csomós,', 'Zoltán Latinovits,', 'Anikó Sáfár']",7.2
tt0103594,1492: Conquest of Paradise,(1992),154 min,"
Adventure, Biography, Drama            ","['Director:', 'Ridley Scott']","['Stars:', 'Gérard Depardieu,', 'Armand Assante,', 'Sigourney Weaver,', 'Loren Dean']",6.4
tt0184178,15 Amore,(1998),92 min,"
Drama, Romance, War            ","['Director:', 'Maurice Murphy']","['Stars:', 'Lisa Hensley,', 'Steve Bastoni,', 'Domenic Galati,', 'Tara Jakszewicz']",6.8
tt2149220,15 Keys,(2012),75 min,"
Action            ","['Director:', 'Corey Guilbault']","['Stars:', 'Christopher Dardick,', 'James Eddy,', 'Steve Gagne,', 'Andrea Solski']",
tt13105764,15 Killings,(2020),96 min,"
Crime, Drama, Thriller            ","['Director:', 'I. Drakos']","['Stars:', 'Steve Bongeorno,', 'Maria Olsen,', 'Cody Behrens,', 'Andrew Jacobs']",3.2
tt0027617,15 Maiden Lane,(1936),65 min,"
Crime, Drama            ","['Director:', 'Allan Dwan']","['Stars:', 'Claire Trevor,', 'Cesar Romero,', 'Douglas Fowley,', 'Lloyd Nolan']",6.4
tt0388664,15 Minute Death,(2003),,,"['Director:', 'Jessie Wallace']","['Stars:', 'Bessie Gian,', 'Jeff Gruich,', 'PJ Lazic']",6.2
tt0179626,15 Minutes,(2001),120 min,"
Action, Crime, Drama            ","['Director:', 'John Herzfeld']","['Stars:', 'Robert De Niro,', 'Edward Burns,', 'Kelsey Grammer,', 'Avery Brooks']",6.1
tt1338544,15 Minutes of Fame,(2008),89 min,"
Comedy            ","['Director:', 'Jo D. Jonz']","['Stars:', 'Markee Adams,', 'Paula Bel,', 'Priscilla Bonnet,', 'Denise Boutte']",6.7
tt2784114,15 Minutes of Faye,(2020),94 min,"
Comedy            ","['Director:', 'Joshua Ingle']","['Stars:', 'Jamie Parslow,', 'Cameron Gagne,', 'Jo Crandall,', 'Don Hiltebeitel']",
tt0156247,15 Months in May,(1997),91 min,"
Drama            ","['Director:', 'Anja Murmann']","['Stars:', 'Sarah Boberg,', 'Andrew Colteaux,', 'John Frey,', 'Daryl Dismond']",7.5
tt2431686,15 North,(2013),81 min,"
Adventure, Comedy, Drama            ","['Director:', 'Aaron Fradkin']","['Stars:', 'Ben Faigus,', 'Alex Schemmer,', 'Peter Paull,', 'Kaius Harrison']",6.6
tt0449159,15 Park Avenue,(2005),116 min,"
Drama            ","['Director:', 'Aparna Sen']","['Stars:', 'Shabana Azmi,', 'Konkona Sen Sharma,', 'Rahul Bose,', 'Dhritiman Chatterjee']",7.1
tt1568798,15 Till Midnight,(2010),97 min,"
Drama, Mystery, Sci-Fi            ","['Director:', 'Wolfgang Meyer']","['Stars:', 'Brandon Slagle,', 'Dee Martin,', 'Devanny Pinn,', 'Andrew Roth']",2.7
tt0242244,15 Ugly Sisters,(1990),82 min,,"['Director:', 'Bashar Shbib']","['Stars:', 'Kathy Horner,', 'Attila Bertalan,', 'Andrea Sadler,', 'Bobo Vian']",
tt16966854,15 Years of Slavery,(2015),,"
Drama            ","['Director:', 'Ifeanyi Ogbonna']","['Stars:', 'Eddie Abbey,', 'Gazza Anderson,', 'Henry Anyanwu,', 'Armani J. Armani']",
tt0237994,"February 15, 1839",(2001),120 min,"
Drama, History            ","['Director:', 'Pierre Falardeau']","['Stars:', 'Luc Picard,', 'Sylvie Drapeau,', 'Frédéric Gilles,', 'Pierre Rivard']",7.1
tt2165531,150 Miles,(2009),73 min,"
Thriller            ","['Director:', 'Stephen Groo']","['Stars:', 'Todd Andersen,', 'Caitlyn Bradley,', 'Alex Groo,', 'Dallas Groo']",
tt5182814,150 Seconds Ago,(2002),112 min,,"['Director:', 'Batul Mukhtiar']",[],
