title,genres
Hereditary,"drama, horror, mystery"
Se7en,"crime, drama, mystery"
Risky Business,"comedy, crime, drama"
Candyman,"horror, thriller"
Star Wars: Episode VI - Return of the Jedi,"action, adventure, fantasy"
Captain Marvel,"action, adventure, sci-fi"
Blow,"biography, crime, drama"
Only the Brave,"action, biography, drama"
Predator,"action, adventure, horror"
Spider-Man: Homecoming,"action, adventure, sci-fi"
Gone Girl,"drama, mystery, thriller"
Footloose,"comedy, drama, music"
The Crow,"action, crime, drama"
Get Out,"horror, mystery, thriller"
Apocalypse Now,"drama, mystery, war"
The VVitch: A New-England Folktale,"drama, fantasy, history"
Venom: Let There Be Carnage,"action, adventure, sci-fi"
300,"action, drama"
Baywatch,"action, comedy, crime"
Star Wars: Episode V - The Empire Strikes Back,"action, adventure, fantasy"
Darkest Hour,"biography, drama, war"
The Danish Girl,"biography, drama, romance"
Kingsman: The Secret Service,"action, adventure, comedy"
The Matrix,"action, sci-fi"
The Voyeurs,"drama, mystery, thriller"
Kama Sutra: A Tale of Love,"crime, drama, history"
Public Enemies,"action, biography, crime"
Mission: Impossible III,"action, adventure, thriller"
Gladiator,"action, adventure, drama"
The Breakfast Club,"comedy, drama"
Scooby-Doo,"adventure, comedy, family"
We Die Young,"action, crime, drama"
Hacksaw Ridge,"biography, drama, history"
Her,"drama, romance, sci-fi"
Midway,"action, drama, history"
Spree,"action, comedy, crime"
The Dark Knight Rises,"action, drama"
Jack Reacher,"action, mystery, thriller"
Mad Max: Fury Road,"action, adventure, sci-fi"
Once Upon a Time in America,"crime, drama"
Prisoners,"crime, drama, mystery"
Oblivion,"action, adventure, sci-fi"
Malena,"drama, romance, war"
Call Me by Your Name,"drama, romance"
Ford v Ferrari,"action, biography, drama"
The Irishman,"biography, crime, drama"
Black Swan,"drama, thriller"
The Power of the Dog,"drama, romance, western"
Ad Astra,"adventure, drama, mystery"
Full Metal Jacket,"drama, war"
Bridesmaids,"comedy, romance"
Troy,"drama, history"
Red Notice,"action, comedy, thriller"
After,"drama, romance"
Paddington,"adventure, comedy, family"
Harry Potter and the Deathly Hallows: Part 1,"adventure, family, fantasy"
No Country for Old Men,"crime, drama, thriller"
A Few Good Men,"drama, thriller"
Ex Machina,"drama, sci-fi, thriller"
Dumb and Dumber,comedy
Dodgeball: A True Underdog Story,"comedy, sport"
Guardians of the Galaxy Vol. 2,"action, adventure, comedy"
Scarface,"crime, drama"
Career Opportunities,"comedy, romance"
Blade Runner,"action, drama, sci-fi"
Ready Player One,"action, adventure, sci-fi"
"Girl, Interrupted","biography, drama"
Irma Vep,"comedy, drama"
The Mummy,"action, adventure, fantasy"
Aliens,"action, adventure, sci-fi"
Juno,"comedy, drama"
Death on the Nile,"crime, drama, mystery"
Shutter Island,"mystery, thriller"
Uncut Gems,"crime, drama, thriller"
Moneyball,"biography, drama, sport"
Deadpool 2,"action, adventure, comedy"
Solo: A Star Wars Story,"action, adventure, sci-fi"
Spider-Man: Into the Spider-Verse,"animation, action, adventure"
Happy Gilmore,"comedy, sport"
"Crazy, Stupid, Love.","comedy, drama, romance"
Stand by Me,"adventure, drama"
The Princess Bride,"adventure, family, fantasy"
The Green Mile,"crime, drama, fantasy"
Legend,"adventure, fantasy, romance"
Suicide Squad,"action, adventure, fantasy"
The Blue Lagoon,"adventure, drama, romance"
Promising Young Woman,"crime, drama, mystery"
Jojo Rabbit,"comedy, drama, war"
12 Angry Men,"crime, drama"
Crash,drama
Doctor Sleep,"drama, fantasy, horror"
Casino Royale,"action, adventure, thriller"
The Lighthouse,"drama, fantasy, history"
In Bruges,"comedy, crime, drama"
The Greatest Showman,"biography, drama, musical"
Pride & Prejudice,"drama, romance"
Edge of Tomorrow,"action, adventure, sci-fi"
The Lord of the Rings: The Return of the King,"action, adventure, drama"
Jerry Maguire,"comedy, drama, romance"
John Wick,"action, crime, thriller"
The Godfather: Part III,"crime, drama"
War of the Worlds,"action, adventure, sci-fi"
Independence Day,"action, adventure, sci-fi"
Harry Potter and the Goblet of Fire,"adventure, family, fantasy"
Vegas Vacation,comedy
Napoleon Dynamite,comedy
The Many Saints of Newark,"crime, drama"
The Prestige,"drama, mystery, sci-fi"
Prometheus,"adventure, mystery, sci-fi"
Dunkirk,"action, drama, history"
After We Collided,"drama, romance"
Harry Potter and the Deathly Hallows: Part 2,"adventure, fantasy, mystery"
Sing,"animation, comedy, family"
Belfast,"biography, drama"
American Beauty,drama
Chinatown,"drama, mystery, thriller"
Trees of Peace,drama
Predestination,"action, drama, sci-fi"
The Green Knight,"adventure, drama, fantasy"
Scream,"horror, mystery"
The Amazing Spider-Man 2,"action, adventure, sci-fi"
Dead Poets Society,"comedy, drama"
Dear Evan Hansen,"drama, musical"
Indiana Jones and the Raiders of the Lost Ark,"action, adventure"
Drive,"action, drama"
Tusk,"comedy, horror"
Thor,"action, adventure, fantasy"
Black Panther,"action, adventure, sci-fi"
Jumanji: The Next Level,"action, adventure, comedy"
The Sandlot,"comedy, drama, family"
