title,genres
Hellion,"drama, thriller"
Telling Tales,"comedy, fantasy, romance"
Xtro II: The Second Encounter,"action, horror, sci-fi"
Stateside,"drama, music, romance"
To Keep the Light,"drama, history"
Beta Test,"action, sci-fi, thriller"
Amal,drama
Room for Rent,"comedy, mystery, thriller"
Stryker,"action, sci-fi"
Chocolate City: Vegas,drama
Second Chorus,"comedy, musical, romance"
Rock the Casbah,"comedy, drama"
Behind the Line: Escape to Dunkirk,"action, drama, sport"
Fall Time,"crime, drama"
Carry on Matron,"comedy, crime"
Take Care,"comedy, drama, romance"
Capital,drama
Laughter in Paradise,comedy
Compadres,"action, comedy, crime"
Golden Job,"action, adventure, crime"
The Titfield Thunderbolt,comedy
The Gorilla,"comedy, horror"
Fast Food,comedy
Pandemic,"drama, sci-fi, thriller"
Carry on Jack,"adventure, comedy, romance"
Bright Eyes,"comedy, drama, family"
Bedtime for Bonzo,"comedy, family, romance"
Dark Summer,"horror, thriller"
Corporate Fantasy,"drama, romance"
Breathing Room,"horror, mystery, thriller"
A Kind of Loving,"drama, romance"
The Eternal,horror
Beneath the Blue Suburban Skies,drama
Screams of a Winter Night,"horror, mystery"
Shank,"action, comedy, crime"
Stuart Saves His Family,"comedy, drama"
The Champagne Gang,"action, adventure"
Dishonored,"drama, romance, war"
The Matchbreaker,"comedy, romance"
White Elephant,drama
Locked Up,"crime, drama, romance"
Los Angeles,drama
John Leguizamo's Latin History for Morons,comedy
CompleX,thriller
Female Zombie Riot,"comedy, horror"
The Preppie Connection,"crime, drama"
"Tarzan, the Ape Man","action, adventure, romance"
The Legend of Zelda: The Hero of Time,"action, adventure, fantasy"
Beautiful Joe,"comedy, drama"
Bad Medicine,comedy
A Turtle's Tale 2: Sammy's Escape from Paradise,"animation, adventure, family"
Dogman,"drama, horror, mystery"
I Can Speak,"comedy, drama"
The File on Thelma Jordon,"crime, drama, film-noir"
Alexandria... Why?,drama
Lonesome Jim,"comedy, drama"
City Girl,"drama, romance"
Ghost Warrior,"action, sci-fi"
Fighting Back,"action, crime, drama"
Final Voyage,"action, drama, thriller"
Satan's Blade,horror
Angel Mountain,drama
Operator,"action, thriller"
Falling Up,"comedy, drama, romance"
Stiletto,"crime, drama"
The Chapman Report,"drama, romance"
Force: Five,"action, adventure, drama"
Traxx,"action, comedy"
My Heroes Have Always Been Cowboys,"drama, western"
Silk,"action, crime, drama"
Valley of the Sun,"comedy, drama, romance"
Cruel Peter,horror
Life with Dog,drama
Jinxed!,comedy
Love in Action,comedy
In the Shadow of Kilimanjaro,"action, adventure, drama"
E.M.P. 333 Days,"drama, thriller"
Dangerous Love,"mystery, thriller"
I'm Dancing as Fast as I Can,"biography, drama"
Salt of the Earth,"drama, history"
The Mill and the Cross,"drama, history"
Apparitions,horror
Men of Respect,"crime, drama, thriller"
Shark Week,"action, adventure, horror"
Farewell to the Night,drama
Sasquatch: The Legend of Bigfoot,"adventure, horror, mystery"
A Man of Integrity,drama
The Fitzgerald Family Christmas,drama
Partition,"drama, romance"
My Sister Eileen,comedy
Shahid,"biography, drama"
Maya the Bee Movie,"animation, adventure, comedy"
I Am Dina,drama
All in a Night's Work,"comedy, romance"
The Last Sin Eater,drama
A Gun for Jennifer,"crime, drama, thriller"
Billy's Hollywood Screen Kiss,"comedy, romance"
Superman and the Mole-Men,"action, adventure, drama"
Frank the Bastard,"drama, mystery, thriller"
Snuff-Movie,horror
Complacent,drama
Mission: Killfast,"action, adventure"
Warning Shot,"crime, mystery, thriller"
Death Warmed Up,"horror, sci-fi"
Whoops Apocalypse,comedy
Sitting Target,"action, crime, drama"
Home Sweet Home,horror
Pulse Pounders,"fantasy, horror, sci-fi"
Ang padrino,"action, drama"
Old Fashioned,"drama, romance"
The Twisted Tale of Bloody Mary,"drama, history"
Ditched,horror
Urge,drama
Shake Hands with the Devil,"action, drama, history"
Sensation,"drama, thriller"
Slash,"comedy, fantasy, romance"
Possessed,"crime, drama, film-noir"
Fucking with Nobody,"comedy, drama"
Mannequin,drama
Tarzan's New York Adventure,"action, adventure"
Recruits,comedy
Kabul Express,"adventure, comedy, drama"
French Tech,comedy
Sun Don't Shine,"crime, drama, horror"
Cheeni Kum,"comedy, drama, romance"
Necromancy,horror
Kendra and Beth,comedy
Try Seventeen,"comedy, drama"
Story of G.I. Joe,"biography, drama, war"
The Gamers: Dorkness Rising,"action, adventure, comedy"
Do It for Uncle Manny,comedy
The Secrets of Emily Blair,"horror, thriller"
Ear for Eye,drama
Special Unit,comedy
Cyborg Cop,"action, sci-fi"
Crypt of the Living Dead,horror
Rice Girl,"adventure, comedy, family"
Obsession,drama
Bending All the Rules,drama
Christmas Holiday,"crime, drama, film-noir"
Pig Hunt,"action, horror, thriller"
Ruggles of Red Gap,"comedy, romance, western"
Children of the Corn: Genesis,"horror, thriller"
Playing with Dolls: Havoc,"comedy, horror, thriller"
B.F.F.,drama
Flareup,thriller
The Russian Specialist,"action, drama, thriller"
She and I,comedy
The Split,"action, crime, drama"
King Lear,"drama, history"
Liebesleben,drama
The Tale of Ruby Rose,"drama, horror, thriller"
The Docks of New York,"crime, drama, film-noir"
Get Yourself a College Girl,"comedy, music"
Nurse Sherri,horror
Buchanan Rides Alone,"drama, western"
Urban & the Shed Crew,drama
Road to Nowhere,"romance, thriller"
Cast a Long Shadow,"romance, western"
"Baker County, U.S.A.",thriller
The Last Run,"action, crime, drama"
Hard Country,drama
A Curtain Raiser & Other Shorts,"drama, romance"
Muri shinjû: Nihon no natsu,"crime, drama"
I'm Reed Fish,"comedy, drama, romance"
Behind Closed Doors,"drama, thriller"
Operation Cicero,"action, crime, drama"
Downhill,"action, horror, sport"
Snow Beast,"adventure, drama, horror"
Deuces,"action, crime, drama"
Django Strikes Again,western
Diminuendo,"romance, sci-fi"
The Outfit,"crime, action, thriller"
Locked In,"drama, thriller"
Madhuram,"drama, romance"
The First Nudie Musical,"comedy, musical"
Lifechanger,"drama, fantasy, horror"
Honey: Rise Up and Dance,"drama, music"
Prehistoric Women,"adventure, fantasy"
The State of Things,drama
Chutney Popcorn,"comedy, drama"
The Chair,"crime, horror, thriller"
Christmas with a Crown,romance
The Betrayed,"crime, drama, mystery"
Storyville,"drama, mystery, thriller"
If You Meet Sartana... Pray for Your Death,"action, mystery, western"
The Haddonfield Nightmare,"horror, thriller"
Grave Secrets,horror
Sealed Cargo,"drama, romance, war"
The Axe Murders of Villisca,horror
Blood of Redemption,"action, crime, drama"
Rough Night in Jericho,"romance, western"
The Surrogate,"drama, mystery, thriller"
The House of Fear,"crime, film-noir, mystery"
Neighbor,"horror, thriller"
Blood and Lace,horror
Third Man on the Mountain,"adventure, drama, family"
Roxie Hart,comedy
Puppet Master: Axis Termination,"fantasy, horror, sci-fi"
Christmas in the Wilds,romance
Maslin Beach,"comedy, drama, romance"
Escape and Evasion,"drama, war"
The Pied Piper,"drama, fantasy, musical"
Ferocious,thriller
Swimming Upstream,"biography, drama, sport"
Osombie,"action, horror"
InuYasha the Movie 2: The Castle Beyond the Looking Glass,"action, animation, comedy"
Scream of the Bikini,comedy
Lady Caroline Lamb,"drama, history, romance"
Vampire Dog,"comedy, family, fantasy"
Puddle Cruiser,"comedy, drama, romance"
Pineapple,drama
Axe,"horror, thriller"
Ghosts of Hamilton Street,"fantasy, mystery, drama"
School Gyrls,music
Rage,action
The Freemason,crime
Cross: Rise of the Villains,"action, sci-fi"
Curly Top,"family, musical, romance"
Java Heat,"action, crime, thriller"
Float Trip,horror
Giving It Up,"comedy, romance"
Wildflower,"drama, thriller"
The Brotherhood of Satan,horror
Odd Noggins,"comedy, horror, sci-fi"
Court,drama
Dummy,"comedy, drama, romance"
A Simple Life,drama
Danger One,"action, comedy, crime"
It's Alive,"horror, sci-fi"
Around the Bend,drama
Neighbours,drama
Blood Sisters,"horror, thriller"
The Blackout,comedy
The Secret War of Harry Frigg,"comedy, war"
Offside,"comedy, drama, sport"
Up the River,"comedy, crime, drama"
Siddhartha,"drama, mystery"
Berlin Express,"crime, drama, film-noir"
Preacher's Kid,"drama, music, romance"
One Million B.C.,"adventure, fantasy, romance"
My Dream Is Yours,"animation, comedy, music"
Funny Money,comedy
Come as You Are,"comedy, drama"
American Guinea Pig: Sacrifice,horror
The Encounter,drama
Friend Zone,"comedy, romance"
The White Massai,"drama, romance"
Atlantis,"action, crime, drama"
The Locket,"crime, drama, film-noir"
Creature from Black Lake,"drama, horror, mystery"
The Voyeur,drama
Hisss,"comedy, drama, horror"
Die Screaming Marianne,"crime, drama, thriller"
Mrs Lowry & Son,"biography, drama, history"
Dante's Inferno,drama
Bleed,"horror, thriller"
Rappin',"drama, music, musical"
Write When You Get Work,"comedy, drama, romance"
The Bank,"drama, romance, thriller"
Christmas with Felicity,"drama, romance"
The House of Violent Desire,"horror, mystery, thriller"
Dirty 30,comedy
Survive!,"drama, thriller"
Pushing Dead,"comedy, drama"
Blade the Iron Cross,"fantasy, horror, sci-fi"
No Way to Live,"crime, drama, thriller"
Bud Abbott and Lou Costello Meet the Invisible Man,"comedy, family, sci-fi"
Carnosaur 3: Primal Species,"action, horror, sci-fi"
All Night Long,"drama, music"
Blue Murder at St. Trinian's,comedy
The Perfect Stranger,drama
Distant Thunder,drama
Daughter of the Dragon,"crime, drama"
Undefeatable,"action, crime, thriller"
Outcast of the Islands,"adventure, drama"
An Englishman in New York,"biography, drama"
The Family Jewels,comedy
The Subject,drama
Detention of the Dead,"action, adventure, comedy"
The Mysterians,"action, family, sci-fi"
Enter the Game of Death,"action, drama"
Caged Heat 3000,"action, sci-fi"
The Ninth Passenger,"action, comedy, horror"
Bringing Up Bobby,comedy
Flirt,"drama, romance"
Rescue Me,"action, comedy"
Back Roads,"adventure, comedy, romance"
Scream of Stone,drama
Once Upon a Time in Queens,"comedy, drama"
Omo Ghetto: The Saga,"action, adventure, comedy"
Call Me Brother,comedy
Love Beats Rhymes,"drama, musical"
You've Got This,"comedy, romance"
The Grand Son,thriller
Sixteen,drama
Cat-Women of the Moon,"adventure, sci-fi"
Flash Gordon's Trip to Mars,"action, adventure, family"
Bad Parents,"comedy, drama"
The Odd Angry Shot,"action, comedy, war"
Taboo 2,drama
Prisoner X,"sci-fi, thriller"
That Lucky Touch,comedy
The Mask of Dimitrios,"crime, drama, film-noir"
Running Naked,"comedy, drama"
Ramanujan,"biography, drama, history"
An American Tragedy,"crime, drama, romance"
The Devil to Pay,thriller
Robert Reborn,horror
The Lightship,"crime, drama, thriller"
Remote Control,"comedy, romance, sci-fi"
Fair Play,drama
Detours,"comedy, drama"
Doraemon: Nobita and the Steel Troops,"animation, adventure, family"
Forbidden Games,"crime, drama, thriller"
Worth Winning,"comedy, romance"
Pitching Tents,"comedy, drama"
All Sorts,comedy
Hunters,action
Lady for a Day,"comedy, drama"
"Oh, God! Book II","comedy, fantasy"
The World's Greatest Lover,comedy
The Torturer,"drama, horror, mystery"
The Doctor's Monster,sci-fi
Erotic Boundaries,"drama, mystery, romance"
The Duchess and the Dirtwater Fox,"comedy, western"
A World Away,"adventure, fantasy"
Freeway,thriller
Tennessee's Partner,"action, romance, western"
The Clairvoyant,"drama, mystery, romance"
Breaking Legs,"family, musical"
The Ballad of Little Jo,"drama, romance, western"
African Kung-Fu Nazis,"action, comedy, horror"
Johan Falk: Kodnamn - Lisa,"action, crime, thriller"
Mourning Becomes Electra,drama
Hasee Toh Phasee,"comedy, romance"
Hornets' Nest,"action, drama, war"
Steel,"drama, mystery, romance"
Blessed,drama
Catlow,"comedy, western"
Cuckold,drama
The Shift,drama
The Virgin Queen,"biography, drama, history"
Demon Hunter,horror
Missionary,"drama, thriller"
Calvin's Dream,comedy
Airborne,"action, comedy, crime"
Shadow Dancer,thriller
The Invisible Boy,"adventure, comedy, family"
Secrets of a Psychopath,thriller
Perfect Strangers,"crime, drama, thriller"
Hangman's Curse,"horror, mystery, thriller"
Before/During/After,"comedy, drama"
Garage Days,"comedy, drama, music"
Il caso dell'infedele Klara,"drama, romance"
The Dawn Patrol,"drama, war"
Mr. Jones,"drama, horror, thriller"
Ils sont vivants,drama
Project: Metalbeast,"horror, sci-fi"
Dreamaniac,horror
Blame It on the Bellboy,comedy
The Beach Girls and the Monster,horror
Naked Obsession,"drama, thriller"
The Love Parade,"comedy, musical, romance"
The Detective,"comedy, crime, drama"
Divorce American Style,comedy
Hot Spell,drama
The Hitchhiker,"horror, thriller"
Bachelor Mother,"comedy, romance"
The Bitter Tea of General Yen,"drama, romance, war"
Mausam,"drama, romance, war"
Beach Balls,comedy
Paper Heart,"comedy, drama, romance"
Vice Academy 4,"comedy, crime"
The Mountain Minor,drama
The Garden of Allah,"adventure, drama, romance"
Space Is the Place,"sci-fi, music"
One Tough Bastard,"action, thriller"
Claire's Camera,drama
The Impossible Years,"comedy, drama"
A Bend in the River,drama
Tokyo Tribe,"action, musical"
Light It Up,"drama, thriller"
All's Faire in Love,comedy
Story Game,thriller
Touch Me Not,drama
Small World,"action, crime, drama"
To the Limit,"action, crime, thriller"
Phantom Lady,"crime, drama, film-noir"
Five Days One Summer,drama
The Shape of Things to Come,"adventure, sci-fi, thriller"
Early Warning,"drama, thriller"
All Roads to Pearla,"crime, drama, thriller"
The Rainbow Thief,"fantasy, drama"
The Purple Heart,"drama, history, war"
The Little Death,"crime, drama, thriller"
Green Ice,"adventure, romance"
Johnny Frank Garrett's Last Word,"crime, drama, horror"
Wind River,"drama, family, western"
The Boss,"crime, drama, film-noir"
Enter the Devil,"horror, thriller, western"
Winners Take All,"action, adventure, romance"
A Sunday Horse,"biography, family, sport"
The Stoneman Murders,"crime, drama, mystery"
The Lives of a Bengal Lancer,"adventure, drama, war"
The Whole Town's Talking,"comedy, crime, drama"
Teraa Surroor,"action, drama, romance"
Hangman's Knot,western
A Cape Cod Christmas,"comedy, drama, family"
Armed Response,"action, crime, thriller"
The Rage,horror
Nemesis 5: The New Model,"action, sci-fi"
Girls for Rent,"crime, drama, thriller"
The Honkers,"action, comedy, drama"
"Niagara, Niagara","drama, romance"
Paranormal Movie,"comedy, horror"
Lake City,"crime, drama"
Dirty Little Billy,"biography, western"
Lemon Sky,drama
ClownTown,"horror, thriller"
Cagefighter,"action, sport"
Destination Planet Negro,"comedy, sci-fi"
Matthew Bourne's Cinderella,"drama, fantasy, music"
Savage Pampas,"adventure, drama, western"
Frisky,"comedy, drama"
A New Lease on Christmas,romance
Nyfes,"drama, romance"
The Black Marble,"comedy, crime, drama"
"East Side, West Side","drama, romance"
The Amorous Adventures of Moll Flanders,"comedy, romance"
Friend of the World,"comedy, horror, sci-fi"
Bullshot Crummond,"action, adventure, comedy"
This Is the Night,comedy
Talking to God,comedy
Quit,"drama, romance"
Joy,drama
The Magic Box,"biography, drama"
Down the Shore,"drama, romance, thriller"
After School Massacre,"comedy, horror"
Fire Maidens of Outer Space,sci-fi
Lines of Wellington,"drama, history, war"
Translated,drama
Indecent Behavior III,"drama, thriller"
The Fugitive,"drama, history"
Tin Pan Alley,"drama, musical, romance"
Rorschach,"horror, mystery"
The Constant Nymph,"drama, music, romance"
Island of Blood,"horror, mystery, thriller"
The Immoral Three,action
You Can't Beat Love,"comedy, romance"
The Midwife,horror
Picture Day,"comedy, drama"
Hennessy,"action, drama, thriller"
Anomalous,"fantasy, horror, thriller"
Dirty Weekend,"crime, drama, thriller"
The Opposite Sex and How to Live with Them,"comedy, romance"
Raid on Rommel,"drama, war"
So Close,"action, crime, thriller"
Kamasutra Nights,drama
Angela,drama
The Unspeakable Act,drama
Harem,drama
Patrick: Evil Awakens,horror
Night of the Blood Beast,"horror, sci-fi"
Hollywood Canteen,"comedy, musical, romance"
The von Trapp Family: A Life of Music,"biography, drama, family"
Lover,"horror, romance, thriller"
Rodeo & Juliet,"drama, family, romance"
Sideways,drama
Lyckligare kan ingen vara,"comedy, drama, romance"
Money Shot,comedy
Seven Deaths in the Cat's Eyes,"horror, mystery, thriller"
Wavelength,"sci-fi, thriller"
Four,"drama, romance"
Relaxer,"comedy, fantasy, horror"
Gold Diggers of 1935,"comedy, musical"
Diamond Head,"drama, romance"
Tower Block,thriller
Midnight Ride,"action, horror, thriller"
Within the Whirlwind,"biography, drama"
The Blackwell Ghost 4,horror
No Vacancy,"comedy, drama, romance"
Imaginaerum,"drama, fantasy, musical"
Frank and Ava,"biography, drama, history"
Ice Scream: The ReMix,"comedy, horror"
Incoming,"action, sci-fi, thriller"
Aardvark,drama
Night Life,horror
Holy Lands,"comedy, drama"
Small Town Killers,"comedy, crime, drama"
Desert Fury,"crime, drama, film-noir"
The Legend of Johnny Lingo,"action, adventure, family"
On the Job 2: The Missing 8,"action, crime, drama"
"If Not Now, When?",drama
The Wonderful Ice Cream Suit,"comedy, family, fantasy"
Beauty Betrayed,"crime, drama"
Staged Killer,thriller
Shadows Run Black,"crime, horror"
The Sign of Zorro,"adventure, drama, family"
Give Me Liberty,"comedy, drama"
Progeny,"horror, sci-fi, thriller"
Godless,"drama, family"
Leaving D.C.,"horror, mystery"
Small Town Saturday Night,drama
Tarzan Triumphs,"action, adventure, war"
The Young One,drama
Mamba,drama
Elvira,drama
99 and 44/100% Dead!,"action, adventure, comedy"
Poolboy: Drowning Out the Fury,comedy
Immortal,thriller
Evel Knievel,"action, biography, drama"
Diary of Lust,"drama, romance"
The KAOS Brief,"horror, sci-fi"
Thousands Cheer,"comedy, drama, musical"
Heaven Sent,"drama, fantasy"
The Garment Jungle,"crime, drama, film-noir"
9 Miles Down,"horror, mystery, sci-fi"
Dead On,"crime, drama, thriller"
The Aerialist,drama
Sherlock Holmes and the Secret Weapon,"adventure, crime, drama"
Steamboat Round the Bend,"comedy, drama, romance"
Stonewall,"comedy, drama, romance"
Domino,drama
Oviri,"biography, drama"
The Mummy's Curse,"action, fantasy, horror"
Wives Beware,comedy
Chasing the Rain,drama
Chesty Anderson U.S. Navy,comedy
Saints and Soldiers: Airborne Creed,"action, drama, war"
Coastlines,"crime, drama, thriller"
Faithful,"comedy, crime, drama"
The Tribe,"drama, sci-fi, thriller"
Evie,thriller
The Rocket,"biography, drama, sport"
Rebecca of Sunnybrook Farm,"comedy, drama, family"
Within,"drama, thriller"
King Arthur: Excalibur Rising,"action, adventure"
Art of the Dead,horror
Smother,"comedy, drama"
Elvis Found Alive,comedy
The Manson Family,"crime, drama, history"
Perfect Fit,"comedy, thriller"
Wife vs. Secretary,"comedy, drama, romance"
Combat Girls,drama
The Miracle,drama
The Left Hand of God,drama
"Buona Sera, Mrs. Campbell","comedy, romance"
Diverge,"drama, sci-fi, thriller"
Nephilim,"animation, action, fantasy"
Juveniles,drama
Bad Comments,comedy
Anna Christie,"drama, romance"
Sprung,"comedy, romance"
Max Rose,drama
Report to the Commissioner,"action, crime, drama"
Lumpia with a Vengeance,"action, comedy"
Soldier in the Rain,"comedy, drama, romance"
The Aspern Papers,drama
The Astrologer,horror
A Heavenly Vintage,"drama, fantasy, romance"
Deep Down,thriller
Memorial Valley Massacre,"horror, thriller"
The Journey Is the Destination,drama
Crossover,"action, sport"
The Return,"mystery, sci-fi, thriller"
A Beginner's Guide to Endings,"comedy, drama"
Sorceress II: The Temptress,"fantasy, horror, thriller"
The Scapegoat,"crime, mystery, thriller"
Bank Robber,"comedy, crime, romance"
Sherlock Holmes in Washington,"mystery, thriller, war"
Men,drama
Punching Henry,comedy
He's My Girl,comedy
Lady Liberty,comedy
7th & Union,"drama, sport"
Evil Bong 2: King Bong,"adventure, comedy, horror"
Do Not Disturb,"comedy, romance"
Where Time Began,"adventure, family, sci-fi"
Meet the Parents,comedy
A Man Called Peter,"biography, drama, family"
Making the Day,"comedy, drama"
Lambo,biography
Milo,horror
House of Usher,"horror, thriller"
Redwood Highway,drama
The Dreaming,"drama, horror, mystery"
The Last Sentinel,"action, sci-fi, thriller"
Blood Born,horror
Loqueesha,comedy
Time Chasers,sci-fi
The Transfiguration,"drama, horror"
Six: The Mark Unleashed,"action, drama, sci-fi"
Bombers B-52,"drama, romance, war"
World Gone Wild,"action, sci-fi"
Blackwater,"action, adventure, horror"
Legacy of Blood,horror
Fresh Kill,drama
Hamlet,drama
Torment,"horror, thriller"
Educating Julie,drama
Blue,"action, adventure, mystery"
Maya the Bee 3: The Golden Orb,"animation, adventure"
Ta Ra Rum Pum,"comedy, drama, family"
Incense for the Damned,horror
Werewolves in Heat,"comedy, horror"
Tell Me I Love You,"comedy, romance"
A Wedding Wonderland,romance
Kill Buljo: The Movie,"action, adventure, comedy"
Deadly Weapon,"drama, sci-fi, thriller"
Medicine for Melancholy,"drama, romance"
We Have a Pope,"comedy, drama"
Sitting Pretty,"comedy, family"
Blackbird,drama
Sex Madness,drama
Paint It Black,drama
Party Hard Die Young,"horror, thriller"
Desolation,thriller
Blood Shot,"action, comedy, horror"
The Other Side,"action, thriller"
Amy,"drama, family"
Kaw,"horror, sci-fi, thriller"
"Oh, God! You Devil","comedy, fantasy"
The Rangers: Bloodstone,"action, adventure, fantasy"
Black Dragons,"thriller, war"
Vincent's Vow,drama
Sold Out,"drama, music, romance"
Sweet Home Carolina,"comedy, drama, romance"
The Deadly Trap,thriller
Seven Ways from Sundown,western
Che!,"biography, drama, history"
Deidra & Laney Rob a Train,"comedy, crime, drama"
Fiela se Kind,drama
Mr. Write,"comedy, drama"
A Soldier's Daughter Never Cries,drama
Chicago Rot,"drama, horror, sci-fi"
Gun the Man Down,western
Metamorphosis,"horror, sci-fi"
Evil Bong 3: The Wrath of Bong,"comedy, horror, sci-fi"
Candy Coated Christmas,"comedy, romance"
Swamp Women,"adventure, crime, drama"
Beauty,drama
Not Alone,"horror, thriller"
I Love Lucy,comedy
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,comedy
Francis,"comedy, drama, family"
The Veteran,"action, crime, thriller"
Illicit Behavior,"action, thriller"
Fatal Bond,"drama, thriller"
Dancing with Crime,"crime, drama, mystery"
Beneath Clouds,"drama, romance"
Manos Returns,"comedy, horror"
Clancy,drama
BADAMASI (Portrait of a General),"biography, history, thriller"
The Stranger,drama
Viktor,"action, drama, thriller"
Lonelyhearts,drama
Scenes from a Mall,comedy
Son of Paleface,western
What Lies Above,"action, adventure, thriller"
Outpost: Rise of the Spetsnaz,"action, horror, sci-fi"
Dangerous Invitation,thriller
Foolin' Around,"comedy, romance, sport"
Catch a Fire,"biography, drama, history"
Thumb Wars IX: The Thighs of Skyskipper,comedy
The Light in the Forest,"adventure, drama, family"
Dean,"comedy, drama, romance"
Beefcake,drama
Jimmy P: Psychotherapy Of A Plains Indian,"biography, drama, thriller"
Atrocious,"horror, mystery, thriller"
Split Second,"crime, drama, film-noir"
La monja,"drama, horror, thriller"
Trash,"animation, adventure, comedy"
Godforsaken,horror
Opus Zero,drama
To Be Someone,comedy
Muhammad: The Last Prophet,"animation, biography, drama"
Sandwich,"comedy, thriller"
13 Eerie,horror
Crashing,drama
The Rats of Tobruk,"action, drama, war"
Across the Wide Missouri,"adventure, romance, western"
The Fast and the Furious,"crime, drama, mystery"
Death Pool,thriller
Gutshot Straight,"action, crime, thriller"
Rottweiler,"action, horror, sci-fi"
Body Chemistry,"drama, thriller"
The Barrens,horror
So Big,"drama, romance, western"
The Body Beautiful,comedy
Summer School Teachers,"romance, thriller"
Jerry and Tom,"comedy, crime, drama"
Long Lost,"drama, mystery, thriller"
Mouthpiece,drama
The Snitch Cartel,"action, crime, drama"
The Education of Little Tree,drama
The Beast with Five Fingers,"horror, mystery"
Wild Honey Pie!,"comedy, drama"
Alien Predator,"drama, horror, sci-fi"
Kamikaze Girls,comedy
Worst Nightmare,drama
Cold Heart,"crime, romance, thriller"
Sister,"crime, drama"
Ghost Town: The Movie,western
Love After Love,"drama, romance"
How to Frame a Figg,comedy
Latitude Zero,"action, adventure, sci-fi"
A Friend's Obsession,thriller
Burke & Wills,"adventure, drama, history"
Killer: A Journal of Murder,"biography, crime, drama"
The Fever,drama
Bear,"action, adventure, drama"
Eye of the Dolphin,"comedy, drama, family"
The Legend of Hell's Gate: An American Conspiracy,"action, adventure, history"
A Woman of Paris: A Drama of Fate,"drama, romance"
Discreet,"crime, drama, mystery"
Broadway Melody of 1940,musical
Adventures of Aladdin,"adventure, family, fantasy"
Dead Souls,horror
Men Without Women,"action, drama"
Spring and Port Wine,drama
Teenage Dirtbag,drama
Hear My Song,"comedy, drama, music"
Price of Love,drama
Among Friends,"comedy, horror"
The Stone Boy,drama
Fat Girls,"comedy, drama"
Don't Open Till Christmas,"horror, mystery"
Showdown in Manila,action
Grain,"drama, sci-fi"
The Harry Hill Movie,"adventure, comedy, family"
Mitra,drama
The Convent,"comedy, fantasy, horror"
Olsen-banden på spanden,"comedy, crime, family"
Broken,"drama, thriller"
Diamonds,"comedy, mystery"
The Beast That Killed Women,horror
She Had to Say Yes,"drama, romance"
The Point Men,"action, drama"
Hello Mr. Billionaire,comedy
Rocktober Blood,"horror, music"
Hatfields and McCoys: Bad Blood,"drama, western"
Summer and Smoke,"drama, romance"
The Next Man,"action, thriller"
"Keep It Up, Jack",comedy
Yuli,"biography, drama, history"
Mondo Weirdo,"drama, horror, mystery"
He Died with a Felafel in His Hand,"comedy, romance"
Funny Cow,"comedy, drama"
The Adventures of Hajji Baba,"action, adventure, romance"
Eastern Condors,"action, adventure, war"
The Last of the High Kings,"comedy, drama"
The Serpent,"drama, thriller"
The Accidental Prime Minister,"biography, drama"
Road Head,"comedy, horror"
Midnight Confessions,"action, drama"
The Road Ahead,drama
True to the Game,"crime, thriller"
A Father's Legacy,drama
Naked Soldier,"action, crime, thriller"
Hollywood Sex Wars,comedy
The 11th Hour,"drama, thriller"
Love Is Now,"drama, mystery, romance"
Beast Mode,"comedy, horror"
Danger Zone,"action, drama"
Z.P.G.,"sci-fi, thriller"
Petey Wheatstraw,"comedy, fantasy, horror"
I Want Someone to Eat Cheese With,"comedy, romance"
America 3000,"action, adventure, sci-fi"
Pound,fantasy
Mosagallu,drama
Bedroom Eyes,"comedy, mystery, thriller"
The Last Photograph,drama
Animal Room,"drama, thriller"
Over the Brooklyn Bridge,comedy
American Hot Wax,"drama, history, music"
Table for Five,"drama, romance"
Beyond Silence,"drama, music"
2nd Chance for Christmas,"drama, family, fantasy"
Tio Papi,"comedy, drama, family"
The Reports on Sarah and Saleem,"crime, drama, mystery"
Stolen Hours,drama
Of Horses and Men,"comedy, drama, romance"
Mrs. Palfrey at the Claremont,"comedy, drama"
Irish Jam,comedy
House of Love,"drama, romance"
O.C. and Stiggs,"comedy, romance"
Once Upon a Time in Brooklyn,"action, crime"
Haunted Evil Dead,horror
David and Goliath,"action, adventure, drama"
Dust,"drama, romance, western"
Dirty Dingus Magee,"comedy, romance, western"
Bulldozer,crime
Mad About Mambo,"comedy, drama, romance"
Toothfairy 2,horror
Breaking Point,"action, crime, drama"
Riders to the Stars,"drama, sci-fi"
Moscow Zero,"action, horror, thriller"
Monica Z,"biography, drama, music"
Richard Peter Johnson,comedy
Ace of Aces,"drama, war"
Carry on Dick,"adventure, comedy"
Camp Murder,horror
Blonde Crazy,"comedy, crime, drama"
Can-Can,"comedy, musical"
Anonymous,drama
Arch of Triumph,"drama, romance, war"
Levity,"crime, drama"
The Man Who Saw Tomorrow,"biography, drama, history"
Call Girl,"crime, drama, thriller"
Curfew,"crime, drama, horror"
The Divine Move 2: The Wrathful,action
G,"drama, romance"
Elves,horror
I Ought to Be in Pictures,"comedy, drama"
Gingerdead Man vs Evil Bong,"comedy, horror"
The Stratton Story,"biography, drama, romance"
Girl on the Edge,"drama, family"
Late for Dinner,"drama, sci-fi"
The Inner Circle,"biography, drama, history"
Adoration,"drama, romance"
Heaven with a Gun,"drama, western"
Kambili: The Whole 30 Yards,romance
Eve and the Handyman,"comedy, romance"
Michel Vaillant,"action, sport"
